,Player,TEAM,AGE,GP,W,L,MIN,DEF RTG,DREB,DREB%,%DREB,STL,STL%,BLK,%BLK,"OPP PTS
OFF TOV","OPP PTS
2ND CHANCE","OPP PTS
FB","OPP PTS
PAINT","DEF
WS"
415,Luke Babbitt,NOP,27,21,8,13,14.3,112.1,2.3,16.1,23.9,0,2.1,0.1,10,5.2,3.1,4.9,14.2,0.003
415,Nate Robinson,NOP,32,2,0,2,11.6,112,0,0,0,0.5,50,0,0,5.5,3.5,2.5,13,0.003
415,Reggie Bullock Jr.,DET,25,17,10,7,5.1,111.1,0.3,7.2,9.1,0.1,8.3,0,0,2.4,1.1,1.6,4.5,0.003
420,Jimmer Fredette,SAS,27,4,1,3,3.1,111.5,0,0,0,0.3,50,0,0,1.5,0,0,4.5,0.001
420,Sam Dekker,HOU,22,3,1,2,2,111.8,0.3,0,25,0.3,100,0,0,0,0,0,2.7,0.001
422,Caron Butler,SAC,36,9,1,8,9.6,112.8,0.9,10.8,16.3,0.6,33.3,0,0,4.8,2.9,3.9,9.3,0
422,Cristiano Felicio,CHI,23,3,1,2,2,113.3,0.3,0,20,0,0,0,0,0,0,3,1.3,0
424,Jason Thompson,TOR,29,21,18,3,6.8,113.2,1.9,25.2,34.5,0.1,10.5,0.3,53.8,2.2,2,3.1,6.8,-0.001
424,Lorenzo Brown,DET,25,6,1,5,9.2,113,1.2,0,20,0.5,42.9,0,0,4.7,0.7,3.5,7.7,-0.001
426,Anthony Bennett,TOR,23,11,7,4,5.4,113.7,1.2,28.3,34.2,0.3,23.1,0,0,2.9,0.4,2.5,5.1,-0.002
426,Roy Hibbert,LAL,29,46,9,37,25.2,113,3.9,14.9,22.7,0.4,10.2,1.6,61.5,8.7,8.6,8.7,23.7,-0.002
428,Damien Inglis,MIL,21,8,2,6,5.3,115.6,1,17.4,32,0.3,22.2,0,0,3.1,1.5,1.6,5.5,-0.005
429,Chris Andersen,MEM,37,7,4,3,5.2,116.7,0.9,18.8,27.3,0.1,14.3,0.4,75,2.6,1.1,1.4,3.1,-0.006
429,Miles Plumlee,MIL,27,26,10,16,7.7,115.2,1.2,15.2,26.5,0.2,13.3,0.5,56.5,2.7,3,1.9,8,-0.006
431,JJ O'Brien,UTA,24,2,2,0,3.1,120,0.5,0,33.3,0.5,50,0,0,2,2,2,2,-0.009
431,Kendall Marshall,PHI,24,11,2,9,15,114.5,1,7.5,10.7,0.3,11.1,0,0,7.8,3.1,6.7,14,-0.009
433,Shayne Whittington,IND,25,2,0,2,3.3,123.1,0.5,0,50,0,0,0.5,50,4,1,1.5,2,-0.01
434,Sean Kilpatrick,BKN,26,5,2,3,6.9,117.3,0.2,2.8,4.2,0.4,50,0,0,2.6,2.4,2.4,5.2,-0.011
435,Chris Copeland,MIL,32,22,10,12,6.7,118.8,0.4,6.9,11.8,0.1,11.1,0,0,3,1.9,1.7,5.9,-0.013
436,Kobe Bryant,LAL,37,38,7,31,29.1,114.2,3.3,11.2,17,0.9,19.9,0.2,7.8,10.9,9.4,11.1,29.6,-0.014
436,Ryan Hollins,MEM,31,11,5,6,9.8,117.2,0.9,10.3,17.5,0.2,9.1,0.5,66.7,3.4,3.2,2.5,7.8,-0.014
438,Nikola Pekovic,MIN,30,8,2,6,14.4,116.2,1.1,8.3,13.2,0,0,0,0,5.8,5,4.5,13.8,-0.015
439,Jordan Mickey,BOS,21,3,3,0,2.1,135.7,0.3,16.7,33.3,0,0,0.3,100,0,0,2,2,-0.016
440,Mitch McGary,OKC,24,13,11,2,4.2,125.2,0.7,17.6,27.3,0,0,0.2,40,2.5,1.7,2.2,4.3,-0.018
441,Bryce Dejean-Jones,NOP,23,2,2,0,1,175,0,0,0,0,0,0,0,0,0,0,2,-0.019
442,Branden Dawson,LAC,23,2,2,0,6.3,124,0.5,0,14.3,0,0,0.5,100,4,1,6,8,-0.022
442,Edy Tavares,ATL,24,8,4,4,7.3,122.3,1.1,0,26.5,0.1,10,0.6,83.3,4.5,1.9,1.6,6,-0.022
444,Tyus Jones,MIN,20,9,1,8,10.9,119.6,1.3,14.1,24,0.4,36.4,0.1,11.1,6.2,3.2,3.4,12.2,-0.024
445,Kendrick Perkins,NOP,31,9,3,6,9.2,124.6,1.4,18.1,28.3,0,0,0.2,20,4.2,2.6,2.7,10.9,-0.035
446,Bryce Cotton,MEM,23,3,0,3,10.9,125.8,0,0,0,1,42.9,0,0,4.7,4.7,3.3,13.3,-0.046
447,Joe Harris,CLE,24,5,5,0,3,162.5,0.6,0,60,0,0,0,0,1.4,1,1.4,5.6,-0.051
448,Jeff Ayres,LAC,29,17,11,6,6.3,111.2,1.1,15.4,25,0,0,0.2,33.3,2.2,2.9,2.1,6.7,0.006
449,Coty Clarke,BOS,23,3,0,3,1.9,107.7,0.3,20,33.3,0,0,0,0,0.7,0,0.7,2,0.004
450,Jimmer Fredette,SAS,27,6,1,5,2.9,110.5,0,0,0,0.2,50,0,0,1,0.8,0,3.7,0.003
450,Markel Brown,BKN,24,62,12,50,15.8,113.5,1.6,10.6,16.7,0.6,24.5,0.2,16.3,6.3,4.6,4.3,15.8,0.003
452,Anthony Bennett,TOR,23,19,12,7,4.4,112.9,0.9,26.2,32.7,0.3,23.8,0,0,1.8,0.3,1.5,3.8,0.002
452,Luis Montero,POR,23,12,6,6,3.5,112,0.3,10.8,17.4,0,0,0,0,1.7,1.1,0.7,1.5,0.002
452,Roy Hibbert,LAL,29,81,17,64,23.2,113.7,3.3,13.9,21.1,0.4,12.2,1.4,62.5,8.3,7.5,9.4,23.4,0.002
452,Sam Dekker,HOU,22,3,1,2,2,111.8,0.3,0,25,0.3,100,0,0,0,0,0,2.7,0.002
456,Edy Tavares,ATL,24,11,7,4,6.6,114.1,1.3,0,27.5,0.1,8.3,0.5,85.7,3.9,1.4,1.8,6,0
456,Erick Green,DEN,25,9,6,3,4.7,114.3,0.3,10,13.6,0.1,14.3,0,0,1.6,0.7,1.1,4.2,0
458,James Michael McAdoo,GSW,23,41,37,4,6.4,114.4,0.7,11.5,16.6,0.2,26.3,0.2,36.4,3,1.7,2.6,6.1,-0.001
458,Jordan Hamilton,NOP,25,11,4,7,27.6,114.2,4.5,17.2,26,0.7,20,0.3,18.8,9.6,7.7,7.3,24,-0.001
458,Lorenzo Brown,DET,25,8,1,7,7.6,114.3,0.9,0,19.4,0.4,42.9,0.1,33.3,4.4,1,2.9,6.8,-0.001
461,Greg Smith,MIN,25,18,8,10,10.7,114.5,1.7,16.9,23.1,0.2,18.2,0.1,33.3,4.7,2.1,3.7,11.7,-0.002
462,Chris Copeland,MIL,32,24,10,14,6.5,116.4,0.4,6.4,10.8,0.1,10,0,0,2.8,1.8,1.6,5.6,-0.005
463,Mitch McGary,OKC,24,20,17,3,3.6,118.9,0.7,20,30.4,0.1,7.7,0.1,40,1.9,1.4,2,3.5,-0.006
464,JJ O'Brien,UTA,24,2,2,0,3.1,120,0.5,0,33.3,0.5,50,0,0,2,2,2,2,-0.007
464,Nikola Pekovic,MIN,30,12,2,10,13,115.9,1.2,9.8,15.4,0.1,4.8,0,0,5.3,4.5,4.2,12.3,-0.007
466,Chris McCullough,BKN,21,24,7,17,15.1,115.8,1.8,12.6,20.8,1.2,37.3,0.5,30,6.8,4.9,4.8,16.9,-0.008
466,Kobe Bryant,LAL,37,66,13,53,28.2,114.9,3.1,11.1,16.8,0.9,22.1,0.2,8.7,10,9.4,11.2,29.6,-0.008
468,Branden Dawson,LAC,23,6,5,1,4.8,121.1,0.3,0,10.5,0,0,0.2,33.3,2.3,2,3.7,7,-0.01
469,Sean Kilpatrick,BKN,26,31,7,24,19.9,117,1.4,7.4,11.3,0.4,12.4,0.1,3.1,7.5,6.1,6.3,20.8,-0.019
470,Bryce Cotton,MEM,23,8,1,7,4.8,129.1,0,0,0,0.4,42.9,0,0,2.4,2.1,1.3,5.8,-0.023
471,Thanasis Antetokounmpo,NYK,23,2,1,1,3.1,142.9,0.5,0,16.7,0,0,0,0,1,1,0,1,-0.032
472,Briante Weber,MIA,23,7,3,4,24.1,119.2,2.4,11.5,16.3,1.3,36,0.4,18.8,8.9,5.9,9,22.3,-0.039
473,Justin Harper,BKN,26,5,4,1,7,133.3,0.2,0,4.8,0.2,100,0,0,3.4,1.4,2.4,6.4,-0.041
474,Kevon Looney,GSW,20,5,4,1,4.1,146.8,1.2,0,60,0,0,0,0,2.4,1.4,3.2,4.4,-0.045
475,Joe Harris,CLE,24,5,5,0,3,162.5,0.6,0,60,0,0,0,0,1.4,1,1.4,5.6,-0.049
476,Rakeem Christmas,IND,24,1,1,0,6.1,184.6,0,0,0,0,0,0,0,10,3,2,8,-0.139
